,path,class
0,./static/Dataset/Land/n02128385_12721.JPEG,Land
1,./static/Dataset/Land/n02490219_3650.JPEG,Land
2,./static/Dataset/Land/n02134084_1921.JPEG,Land
3,./static/Dataset/Land/n02115641_13264.JPEG,Land
4,./static/Dataset/Land/n02391049_356.JPEG,Land
5,./static/Dataset/Land/n02493793_1557.JPEG,Land
6,./static/Dataset/Land/n02492660_10363.JPEG,Land
7,./static/Dataset/Land/n02415577_1222.JPEG,Land
8,./static/Dataset/Land/n01704323_9386.JPEG,Land
9,./static/Dataset/Land/n02395406_75881.JPEG,Land
10,./static/Dataset/Land/n02397096_1001.JPEG,Land
11,./static/Dataset/Land/n02483708_4641.JPEG,Land
12,./static/Dataset/Land/n02397096_5042.JPEG,Land
13,./static/Dataset/Land/ILSVRC2012_val_00034043.JPEG,Land
14,./static/Dataset/Land/n02397096_23074.JPEG,Land
15,./static/Dataset/Land/n02127052_5850.JPEG,Land
16,./static/Dataset/Land/n02493509_3838.JPEG,Land
17,./static/Dataset/Land/n02125311_4404.JPEG,Land
18,./static/Dataset/Land/n02397096_2154.JPEG,Land
19,./static/Dataset/Land/ILSVRC2012_val_00044438.JPEG,Land
20,./static/Dataset/Land/n02114367_5771.JPEG,Land
21,./static/Dataset/Land/n02437616_302.JPEG,Land
22,./static/Dataset/Land/n02422699_2448.JPEG,Land
23,./static/Dataset/Land/n02494079_7373.JPEG,Land
24,./static/Dataset/Land/n02423022_10369.JPEG,Land
25,./static/Dataset/Land/n02128757_11245.JPEG,Land
26,./static/Dataset/Land/ILSVRC2012_val_00015821.JPEG,Land
27,./static/Dataset/Land/ILSVRC2012_val_00026496.JPEG,Land
28,./static/Dataset/Land/n02493509_193.JPEG,Land
29,./static/Dataset/Land/ILSVRC2012_val_00026880.JPEG,Land
30,./static/Dataset/Land/n02134418_3035.JPEG,Land
31,./static/Dataset/Land/n02437312_10658.JPEG,Land
32,./static/Dataset/Land/n02483708_6851.JPEG,Land
33,./static/Dataset/Land/n02408429_8650.JPEG,Land
34,./static/Dataset/Land/ILSVRC2012_val_00018252.JPEG,Land
35,./static/Dataset/Land/n02397096_1685.JPEG,Land
36,./static/Dataset/Land/n01882714_13386.JPEG,Land
37,./static/Dataset/Land/n02500267_3449.JPEG,Land
38,./static/Dataset/Land/n02422106_4229.JPEG,Land
39,./static/Dataset/Land/n02129165_9197.JPEG,Land
40,./static/Dataset/Land/ILSVRC2012_val_00018747.JPEG,Land
41,./static/Dataset/Land/n02114548_14048.JPEG,Land
42,./static/Dataset/Land/n02483362_17415.JPEG,Land
43,./static/Dataset/Land/n02504458_4819.JPEG,Land
44,./static/Dataset/Land/ILSVRC2012_val_00047193.JPEG,Land
45,./static/Dataset/Land/ILSVRC2012_val_00012833.JPEG,Land
46,./static/Dataset/Land/n02389026_1642.JPEG,Land
47,./static/Dataset/Land/n02422106_3145.JPEG,Land
48,./static/Dataset/Land/n02119022_2178.JPEG,Land
49,./static/Dataset/Land/n01704323_1431.JPEG,Land
50,./static/Dataset/Land/ILSVRC2012_val_00004267.JPEG,Land
51,./static/Dataset/Land/n02127052_5542.JPEG,Land
52,./static/Dataset/Land/n02134084_16188.JPEG,Land
53,./static/Dataset/Land/n02486261_3267.JPEG,Land
54,./static/Dataset/Land/ILSVRC2012_val_00044496.JPEG,Land
55,./static/Dataset/Land/n02489166_1985.JPEG,Land
56,./static/Dataset/Land/n02132136_6907.JPEG,Land
57,./static/Dataset/Land/n02422699_33368.JPEG,Land
58,./static/Dataset/Land/n02134418_162.JPEG,Land
59,./static/Dataset/Land/ILSVRC2012_val_00026603.JPEG,Land
60,./static/Dataset/Land/n02114712_12697.JPEG,Land
61,./static/Dataset/Land/n02480495_805.JPEG,Land
62,./static/Dataset/Land/n02403003_553.JPEG,Land
63,./static/Dataset/Land/n01704323_2476.JPEG,Land
64,./static/Dataset/Land/n02490219_1381.JPEG,Land
65,./static/Dataset/Land/n02395406_7226.JPEG,Land
66,./static/Dataset/Land/n02116738_5708.JPEG,Land
67,./static/Dataset/Land/n02395406_2024.JPEG,Land
68,./static/Dataset/Land/n02488702_3259.JPEG,Land
69,./static/Dataset/Land/ILSVRC2012_val_00012167.JPEG,Land
70,./static/Dataset/Land/n02480495_2075.JPEG,Land
71,./static/Dataset/Land/n02486261_18283.JPEG,Land
72,./static/Dataset/Land/n02127052_1385.JPEG,Land
73,./static/Dataset/Land/n02114367_27625.JPEG,Land
74,./static/Dataset/Land/ILSVRC2012_val_00011032.JPEG,Land
75,./static/Dataset/Land/n02133161_9786.JPEG,Land
76,./static/Dataset/Land/n02134418_8454.JPEG,Land
77,./static/Dataset/Land/n02398521_12434.JPEG,Land
78,./static/Dataset/Land/n02488702_3035.JPEG,Land
79,./static/Dataset/Land/n02500267_14337.JPEG,Land
80,./static/Dataset/Land/n02488291_768.JPEG,Land
81,./static/Dataset/Land/ILSVRC2012_val_00033641.JPEG,Land
82,./static/Dataset/Land/n02128925_6716.JPEG,Land
83,./static/Dataset/Land/n02480855_18708.JPEG,Land
84,./static/Dataset/Land/n02117135_5216.JPEG,Land
85,./static/Dataset/Land/n02480495_9642.JPEG,Land
86,./static/Dataset/Land/n02493793_7952.JPEG,Land
87,./static/Dataset/Land/n02115641_24879.JPEG,Land
88,./static/Dataset/Land/n01871265_6821.JPEG,Land
89,./static/Dataset/Land/n02134418_4725.JPEG,Land
90,./static/Dataset/Land/ILSVRC2012_val_00030651.JPEG,Land
91,./static/Dataset/Land/n02396427_14415.JPEG,Land
92,./static/Dataset/Land/n02510455_8303.JPEG,Land
93,./static/Dataset/Land/n02490219_1483.JPEG,Land
94,./static/Dataset/Land/n02115641_31.JPEG,Land
95,./static/Dataset/Land/ILSVRC2012_val_00039866.JPEG,Land
96,./static/Dataset/Land/n02116738_47453.JPEG,Land
97,./static/Dataset/Land/n02128757_6022.JPEG,Land
98,./static/Dataset/Land/n02114367_15451.JPEG,Land
99,./static/Dataset/Land/ILSVRC2012_val_00022007.JPEG,Land
100,./static/Dataset/Land/n02417914_4700.JPEG,Land
101,./static/Dataset/Land/n02132136_1186.JPEG,Land
102,./static/Dataset/Land/n02417914_9562.JPEG,Land
103,./static/Dataset/Land/n02483362_18631.JPEG,Land
104,./static/Dataset/Land/n02480495_12334.JPEG,Land
